번호,행정동,수거함 설치위치,수거함종류,데이터기준일자
1,목1동,서울특별시 양천구 목동 404-13 푸르지오아파트,폐형광등폐건전지 통합수거함,2024-10-10
2,목1동,서울특별시 양천구 목동 404-3 힘찬병원,폐형광등폐건전지 통합수거함,2024-10-10
3,목1동,서울특별시 양천구 목동 405 대림아파트,폐형광등폐건전지 통합수거함,2024-10-10
4,목1동,서울특별시 양천구 목동 405-208 생명과학박물관,폐형광등폐건전지 통합수거함,2024-10-10
5,목1동,서울특별시 양천구 목동 405-472 대림아파트 담장 옆,폐형광등폐건전지 통합수거함,2024-10-10
6,목1동,서울특별시 양천구 목동 808-5 대원칸타빌,폐형광등폐건전지 통합수거함,2024-10-10
7,목1동,서울특별시 양천구 목동 808-9 우당아파트,폐형광등폐건전지 통합수거함,2024-10-10
8,목1동,서울특별시 양천구 목동 914 목동아이스링크,폐형광등폐건전지 통합수거함,2024-10-10
9,목1동,서울특별시 양천구 목동 916 현대하이페리온 101동,폐형광등폐건전지 통합수거함,2024-10-10
10,목1동,서울특별시 양천구 목동 916 현대하이페리온 102동,폐형광등폐건전지 통합수거함,2024-10-10
11,목1동,서울특별시 양천구 목동 916 현대하이페리온 103동,폐형광등폐건전지 통합수거함,2024-10-10
12,목1동,서울특별시 양천구 목동 917 목동파라곤,폐형광등폐건전지 통합수거함,2024-10-10
13,목1동,서울특별시 양천구 목동 917-9 현대41타워 지하주차장 2층,폐형광등폐건전지 통합수거함,2024-10-10
14,목1동,서울특별시 양천구 목동 918 목동청소년회관,폐형광등폐건전지 통합수거함,2024-10-10
15,목1동,서울특별시 양천구 목동 919-3 목1동주민센터,폐형광등폐건전지 통합수거함,2024-10-10
16,목1동,서울특별시 양천구 목동 923-14 현대드림타워,폐형광등폐건전지 통합수거함,2024-10-10
17,목1동,서울특별시 양천구 목동 923-15 목동굿모닝탑,폐형광등폐건전지 통합수거함,2024-10-10
18,목1동,서울특별시 양천구 목동 925 목동아파트 7단지 721동,폐형광등폐건전지 통합수거함,2024-10-10
19,목1동,서울특별시 양천구 목동 925-3 목동아파트 7단지 709동,폐형광등폐건전지 통합수거함,2024-10-10
20,목1동,서울특별시 양천구 목동 925-3 목동아파트 7단지 B상가,폐형광등폐건전지 통합수거함,2024-10-10
21,목1동,서울특별시 양천구 목동 926-7 벽산아파트,폐형광등폐건전지 통합수거함,2024-10-10
22,목1동,서울특별시 양천구 목동 926-8 성원아파트,폐형광등폐건전지 통합수거함,2024-10-10
23,목1동,서울특별시 양천구 목동 927 목동아파트 7단지 733동,폐형광등폐건전지 통합수거함,2024-10-10
24,목1동,서울특별시 양천구 목동 927-4 횃불교회,폐형광등폐건전지 통합수거함,2024-10-10
25,목1동,서울특별시 양천구 목동 927-6 진명여고,폐형광등폐건전지 통합수거함,2024-10-10
26,목1동,서울특별시 양천구 목동 930 현대아파트 101동,폐형광등폐건전지 통합수거함,2024-10-10
27,목1동,서울특별시 양천구 목동 931 현대아파트 107동,폐형광등폐건전지 통합수거함,2024-10-10
28,목1동,서울특별시 양천구 목동 931 현대아파트 108동,폐형광등폐건전지 통합수거함,2024-10-10
29,목1동,서울특별시 양천구 목동 932 현대1차아파트 경비실,폐형광등폐건전지 통합수거함,2024-10-10
30,목1동,서울특별시 양천구 목동 933 목동삼익아파트,폐형광등폐건전지 통합수거함,2024-10-10
31,목1동,서울특별시 양천구 목동 934 금호1차아파트 경비실,폐형광등폐건전지 통합수거함,2024-10-10
32,목1동,서울특별시 양천구 목동 935 진도1차아파트 102동,폐형광등폐건전지 통합수거함,2024-10-10
33,목1동,서울특별시 양천구 목동 936 진도2차아파트 201동,폐형광등폐건전지 통합수거함,2024-10-10
34,목1동,서울특별시 양천구 목동 940 목동아이파크,폐형광등폐건전지 통합수거함,2024-10-10
